student_key,total_clicks_early,mean_clicks_per_day_early,max_clicks_in_a_day_early,active_days_early,activity_span_early,consistency_early,target
151358_AAA_2013J,37.0,2.0555555555555554,7.0,5.0,15.0,0.3333333333333333,1
155550_AAA_2013J,459.0,4.289719626168225,25.0,17.0,35.0,0.4857142857142857,1
155854_AAA_2013J,965.0,4.974226804123711,37.0,32.0,36.0,0.8888888888888888,1
155984_AAA_2013J,526.0,4.825688073394495,28.0,15.0,29.0,0.5172413793103449,0
157568_AAA_2013J,364.0,4.183908045977011,28.0,15.0,27.0,0.5555555555555556,1
159954_AAA_2013J,535.0,3.5906040268456376,21.0,27.0,37.0,0.7297297297297297,0
164259_AAA_2013J,84.0,3.0,12.0,6.0,28.0,0.21428571428571427,1
167906_AAA_2013J,399.0,3.99,32.0,14.0,29.0,0.4827586206896552,1
168936_AAA_2013J,249.0,3.0365853658536586,25.0,9.0,19.0,0.47368421052631576,1
172112_AAA_2013J,291.0,3.0631578947368423,33.0,21.0,30.0,0.7,1
172797_AAA_2013J,241.0,3.2133333333333334,17.0,9.0,36.0,0.25,1
174782_AAA_2013J,1562.0,4.580645161290323,39.0,37.0,37.0,1.0,1
175392_AAA_2013J,1392.0,4.155223880597015,26.0,34.0,36.0,0.9444444444444444,1
175932_AAA_2013J,653.0,5.224,54.0,21.0,37.0,0.5675675675675675,1
175991_AAA_2013J,94.0,4.947368421052632,22.0,5.0,24.0,0.20833333333333334,0
180753_AAA_2013J,599.0,3.346368715083799,18.0,27.0,36.0,0.75,1
181316_AAA_2013J,426.0,3.354330708661417,27.0,15.0,35.0,0.42857142857142855,0
183096_AAA_2013J,675.0,4.5,33.0,22.0,37.0,0.5945945945945946,1
183947_AAA_2013J,232.0,2.9743589743589745,24.0,8.0,28.0,0.2857142857142857,1
184271_AAA_2013J,364.0,2.736842105263158,23.0,27.0,33.0,0.8181818181818182,1
185439_AAA_2013J,302.0,4.026666666666666,25.0,11.0,34.0,0.3235294117647059,0
186149_AAA_2013J,851.0,3.903669724770642,36.0,27.0,35.0,0.7714285714285715,1
187100_AAA_2013J,2499.0,6.326582278481013,48.0,37.0,37.0,1.0,1
188278_AAA_2013J,993.0,4.103305785123967,44.0,23.0,36.0,0.6388888888888888,0
189879_AAA_2013J,474.0,4.74,25.0,16.0,35.0,0.45714285714285713,1
192183_AAA_2013J,676.0,4.198757763975156,31.0,29.0,37.0,0.7837837837837838,1
195262_AAA_2013J,170.0,4.0476190476190474,20.0,8.0,29.0,0.27586206896551724,0
200860_AAA_2013J,253.0,2.3425925925925926,30.0,21.0,37.0,0.5675675675675675,1
202635_AAA_2013J,835.0,4.7175141242937855,34.0,24.0,37.0,0.6486486486486487,0
205350_AAA_2013J,662.0,3.521276595744681,19.0,23.0,36.0,0.6388888888888888,1
205719_AAA_2013J,234.0,3.8360655737704916,22.0,10.0,25.0,0.4,0
227499_AAA_2013J,951.0,4.099137931034483,29.0,30.0,37.0,0.8108108108108109,1
227517_AAA_2013J,577.0,4.616,39.0,20.0,37.0,0.5405405405405406,0
228082_AAA_2013J,78.0,2.1666666666666665,7.0,10.0,30.0,0.3333333333333333,1
228222_AAA_2013J,69.0,1.864864864864865,5.0,6.0,18.0,0.3333333333333333,1
229179_AAA_2013J,216.0,3.4838709677419355,32.0,12.0,31.0,0.3870967741935484,1
229361_AAA_2013J,173.0,3.0350877192982457,16.0,20.0,37.0,0.5405405405405406,1
231554_AAA_2013J,520.0,5.0,27.0,19.0,36.0,0.5277777777777778,1
235507_AAA_2013J,157.0,2.9074074074074074,20.0,14.0,33.0,0.42424242424242425,0
236284_AAA_2013J,154.0,3.948717948717949,25.0,6.0,7.0,0.8571428571428571,1
238007_AAA_2013J,489.0,3.0,15.0,27.0,37.0,0.7297297297297297,1
240712_AAA_2013J,60.0,2.5,6.0,5.0,28.0,0.17857142857142858,1
240884_AAA_2013J,161.0,3.22,22.0,6.0,24.0,0.25,1
241649_AAA_2013J,603.0,4.1875,33.0,23.0,37.0,0.6216216216216216,1
241729_AAA_2013J,345.0,3.2547169811320753,14.0,18.0,34.0,0.5294117647058824,0
242793_AAA_2013J,211.0,2.8133333333333335,25.0,11.0,36.0,0.3055555555555556,1
246834_AAA_2013J,400.0,3.508771929824561,31.0,18.0,37.0,0.4864864864864865,1
248270_AAA_2013J,704.0,3.764705882352941,33.0,36.0,37.0,0.972972972972973,1
255548_AAA_2013J,1098.0,4.556016597510373,25.0,36.0,37.0,0.972972972972973,1
256815_AAA_2013J,135.0,4.21875,24.0,7.0,37.0,0.1891891891891892,1
258392_AAA_2013J,249.0,2.895348837209302,20.0,13.0,30.0,0.43333333333333335,1
258894_AAA_2013J,785.0,3.984771573604061,48.0,33.0,37.0,0.8918918918918919,1
260355_AAA_2013J,161.0,3.2857142857142856,35.0,10.0,35.0,0.2857142857142857,0
262011_AAA_2013J,360.0,3.5294117647058822,15.0,16.0,28.0,0.5714285714285714,1
262934_AAA_2013J,918.0,4.172727272727273,24.0,25.0,37.0,0.6756756756756757,1
268073_AAA_2013J,733.0,5.511278195488722,24.0,15.0,27.0,0.5555555555555556,0
268733_AAA_2013J,106.0,4.24,13.0,5.0,26.0,0.19230769230769232,0
271251_AAA_2013J,1010.0,5.206185567010309,36.0,30.0,36.0,0.8333333333333334,1
277880_AAA_2013J,1011.0,5.554945054945055,40.0,22.0,31.0,0.7096774193548387,0
279572_AAA_2013J,362.0,3.62,25.0,16.0,26.0,0.6153846153846154,1
281022_AAA_2013J,132.0,3.3,17.0,11.0,26.0,0.4230769230769231,1
281250_AAA_2013J,82.0,2.0,9.0,7.0,34.0,0.20588235294117646,0
281589_AAA_2013J,49.0,2.7222222222222223,6.0,4.0,22.0,0.18181818181818182,0
282821_AAA_2013J,839.0,5.786206896551724,27.0,19.0,36.0,0.5277777777777778,1
286488_AAA_2013J,112.0,2.6666666666666665,11.0,11.0,30.0,0.36666666666666664,1
287548_AAA_2013J,215.0,4.574468085106383,36.0,11.0,37.0,0.2972972972972973,1
290201_AAA_2013J,589.0,4.908333333333333,29.0,17.0,35.0,0.4857142857142857,1
290757_AAA_2013J,131.0,3.8529411764705883,13.0,6.0,27.0,0.2222222222222222,1
291334_AAA_2013J,1334.0,3.768361581920904,35.0,33.0,37.0,0.8918918918918919,1
292923_AAA_2013J,0.0,0.0,0.0,0.0,0.0,0.0,0
293699_AAA_2013J,6.0,1.5,2.0,2.0,7.0,0.2857142857142857,1
294570_AAA_2013J,555.0,5.78125,39.0,22.0,34.0,0.6470588235294118,1
294594_AAA_2013J,205.0,4.183673469387755,36.0,14.0,25.0,0.56,1
295741_AAA_2013J,244.0,2.9397590361445785,18.0,18.0,33.0,0.5454545454545454,0
296332_AAA_2013J,688.0,4.556291390728477,31.0,23.0,37.0,0.6216216216216216,1
298696_AAA_2013J,211.0,3.0579710144927534,11.0,17.0,35.0,0.4857142857142857,1
300398_AAA_2013J,669.0,4.288461538461538,28.0,23.0,37.0,0.6216216216216216,1
302302_AAA_2013J,153.0,3.1875,14.0,9.0,28.0,0.32142857142857145,0
305152_AAA_2013J,111.0,3.9642857142857144,13.0,6.0,27.0,0.2222222222222222,0
305386_AAA_2013J,576.0,3.9183673469387754,24.0,26.0,32.0,0.8125,1
305539_AAA_2013J,68.0,2.6153846153846154,7.0,6.0,5.0,1.2,0
306107_AAA_2013J,213.0,3.6724137931034484,24.0,14.0,26.0,0.5384615384615384,1
306466_AAA_2013J,373.0,4.548780487804878,22.0,16.0,37.0,0.43243243243243246,1
306897_AAA_2013J,1157.0,3.353623188405797,62.0,37.0,37.0,1.0,1
307061_AAA_2013J,286.0,2.9183673469387754,23.0,14.0,34.0,0.4117647058823529,1
307866_AAA_2013J,450.0,4.090909090909091,24.0,17.0,36.0,0.4722222222222222,1
311917_AAA_2013J,596.0,4.1678321678321675,39.0,19.0,32.0,0.59375,1
312537_AAA_2013J,3752.0,9.745454545454546,63.0,38.0,37.0,1.027027027027027,1
312782_AAA_2013J,123.0,3.6176470588235294,17.0,8.0,34.0,0.23529411764705882,1
318933_AAA_2013J,425.0,3.2196969696969697,28.0,26.0,30.0,0.8666666666666667,1
319047_AAA_2013J,962.0,3.536764705882353,25.0,32.0,37.0,0.8648648648648649,1
321942_AAA_2013J,2879.0,6.648960739030023,36.0,36.0,37.0,0.972972972972973,1
324002_AAA_2013J,648.0,4.05,35.0,25.0,32.0,0.78125,1
324084_AAA_2013J,432.0,4.114285714285714,35.0,23.0,37.0,0.6216216216216216,1
324282_AAA_2013J,61.0,2.103448275862069,9.0,8.0,36.0,0.2222222222222222,1
331358_AAA_2013J,1580.0,5.047923322683706,32.0,29.0,36.0,0.8055555555555556,0
332789_AAA_2013J,363.0,4.373493975903615,32.0,13.0,32.0,0.40625,1
333059_AAA_2013J,45.0,2.8125,10.0,5.0,24.0,0.20833333333333334,1
333323_AAA_2013J,171.0,3.2264150943396226,19.0,7.0,35.0,0.2,1
334259_AAA_2013J,243.0,3.328767123287671,13.0,11.0,26.0,0.4230769230769231,0
334333_AAA_2013J,245.0,3.4507042253521125,22.0,22.0,35.0,0.6285714285714286,0
335764_AAA_2013J,985.0,4.104166666666667,28.0,31.0,37.0,0.8378378378378378,0
336207_AAA_2013J,511.0,4.367521367521367,22.0,22.0,36.0,0.6111111111111112,1
339972_AAA_2013J,115.0,3.2857142857142856,19.0,6.0,19.0,0.3157894736842105,1
341872_AAA_2013J,0.0,0.0,0.0,0.0,0.0,0.0,0
342007_AAA_2013J,726.0,4.22093023255814,25.0,26.0,37.0,0.7027027027027027,0
342514_AAA_2013J,586.0,4.373134328358209,29.0,21.0,35.0,0.6,1
342972_AAA_2013J,321.0,3.1782178217821784,15.0,17.0,36.0,0.4722222222222222,1
343446_AAA_2013J,888.0,4.331707317073171,34.0,22.0,36.0,0.6111111111111112,1
344282_AAA_2013J,28.0,1.6470588235294117,5.0,6.0,17.0,0.35294117647058826,0
345068_AAA_2013J,105.0,3.3870967741935485,22.0,6.0,23.0,0.2608695652173913,1
345357_AAA_2013J,462.0,3.6377952755905514,33.0,21.0,33.0,0.6363636363636364,1
346025_AAA_2013J,170.0,2.5757575757575757,12.0,20.0,35.0,0.5714285714285714,1
346843_AAA_2013J,106.0,3.925925925925926,12.0,5.0,14.0,0.35714285714285715,0
350188_AAA_2013J,176.0,2.410958904109589,11.0,15.0,29.0,0.5172413793103449,1
354858_AAA_2013J,198.0,4.304347826086956,25.0,7.0,10.0,0.7,0
357668_AAA_2013J,43.0,2.0476190476190474,5.0,7.0,26.0,0.2692307692307692,0
364177_AAA_2013J,209.0,2.863013698630137,17.0,19.0,33.0,0.5757575757575758,0
365244_AAA_2013J,407.0,2.9708029197080292,26.0,19.0,35.0,0.5428571428571428,1
365642_AAA_2013J,560.0,3.7333333333333334,30.0,24.0,28.0,0.8571428571428571,1
366483_AAA_2013J,368.0,4.380952380952381,33.0,19.0,29.0,0.6551724137931034,1
368194_AAA_2013J,114.0,3.0,36.0,6.0,26.0,0.23076923076923078,1
368824_AAA_2013J,72.0,3.6,12.0,3.0,11.0,0.2727272727272727,0
368963_AAA_2013J,300.0,3.5714285714285716,20.0,13.0,35.0,0.37142857142857144,1
376439_AAA_2013J,892.0,3.7637130801687766,32.0,30.0,37.0,0.8108108108108109,1
376581_AAA_2013J,410.0,5.942028985507246,32.0,8.0,16.0,0.5,1
380953_AAA_2013J,343.0,3.43,21.0,27.0,37.0,0.7297297297297297,1
383254_AAA_2013J,140.0,2.1875,15.0,18.0,34.0,0.5294117647058824,1
386924_AAA_2013J,45.0,1.8,6.0,9.0,24.0,0.375,1
386952_AAA_2013J,325.0,3.282828282828283,20.0,22.0,36.0,0.6111111111111112,1
388722_AAA_2013J,296.0,3.566265060240964,21.0,17.0,37.0,0.4594594594594595,1
388885_AAA_2013J,276.0,4.3125,49.0,14.0,36.0,0.3888888888888889,1
390890_AAA_2013J,326.0,3.196078431372549,16.0,18.0,34.0,0.5294117647058824,0
392756_AAA_2013J,161.0,2.476923076923077,21.0,12.0,35.0,0.34285714285714286,0
392931_AAA_2013J,428.0,3.8214285714285716,19.0,17.0,37.0,0.4594594594594595,1
393207_AAA_2013J,238.0,3.838709677419355,19.0,11.0,28.0,0.39285714285714285,1
396872_AAA_2013J,184.0,4.487804878048781,23.0,8.0,34.0,0.23529411764705882,1
398552_AAA_2013J,224.0,2.986666666666667,28.0,13.0,25.0,0.52,0
401869_AAA_2013J,461.0,3.546153846153846,21.0,20.0,37.0,0.5405405405405406,1
402470_AAA_2013J,592.0,4.228571428571429,31.0,25.0,36.0,0.6944444444444444,1
404804_AAA_2013J,375.0,3.826530612244898,15.0,15.0,33.0,0.45454545454545453,1
405088_AAA_2013J,362.0,2.9193548387096775,23.0,17.0,30.0,0.5666666666666667,1
405961_AAA_2013J,0.0,0.0,0.0,0.0,0.0,0.0,0
414117_AAA_2013J,232.0,2.9743589743589745,16.0,20.0,35.0,0.5714285714285714,1
415969_AAA_2013J,1001.0,4.9068627450980395,38.0,27.0,37.0,0.7297297297297297,0
420087_AAA_2013J,108.0,2.8421052631578947,13.0,4.0,20.0,0.2,0
429958_AAA_2013J,85.0,2.9310344827586206,10.0,6.0,17.0,0.35294117647058826,1
441018_AAA_2013J,242.0,2.847058823529412,24.0,13.0,35.0,0.37142857142857144,1
441888_AAA_2013J,160.0,2.622950819672131,15.0,9.0,27.0,0.3333333333333333,1
442442_AAA_2013J,553.0,4.221374045801527,34.0,21.0,36.0,0.5833333333333334,0
444677_AAA_2013J,276.0,3.2470588235294118,21.0,20.0,34.0,0.5882352941176471,1
470588_AAA_2013J,301.0,5.016666666666667,45.0,11.0,33.0,0.3333333333333333,0
489455_AAA_2013J,810.0,5.436241610738255,41.0,25.0,37.0,0.6756756756756757,1
494424_AAA_2013J,58.0,2.761904761904762,8.0,2.0,25.0,0.08,0
495284_AAA_2013J,311.0,4.7846153846153845,49.0,14.0,25.0,0.56,1
498857_AAA_2013J,299.0,3.6463414634146343,28.0,18.0,30.0,0.6,1
508818_AAA_2013J,573.0,4.69672131147541,36.0,17.0,31.0,0.5483870967741935,1
512460_AAA_2013J,104.0,2.4186046511627906,16.0,12.0,37.0,0.32432432432432434,1
544103_AAA_2013J,1045.0,4.906103286384977,30.0,31.0,36.0,0.8611111111111112,1
550383_AAA_2013J,432.0,4.114285714285714,53.0,22.0,37.0,0.5945945945945946,1
564450_AAA_2013J,75.0,4.411764705882353,16.0,2.0,24.0,0.08333333333333333,0
568601_AAA_2013J,217.0,5.864864864864865,34.0,7.0,13.0,0.5384615384615384,0
572652_AAA_2013J,159.0,4.184210526315789,33.0,11.0,33.0,0.3333333333333333,1
580389_AAA_2013J,614.0,6.019607843137255,144.0,15.0,28.0,0.5357142857142857,1
581129_AAA_2013J,88.0,4.190476190476191,22.0,3.0,10.0,0.3,0
588775_AAA_2013J,1227.0,5.221276595744681,33.0,32.0,37.0,0.8648648648648649,1
591774_AAA_2013J,226.0,3.5873015873015874,16.0,11.0,28.0,0.39285714285714285,1
603861_AAA_2013J,255.0,3.591549295774648,26.0,17.0,35.0,0.4857142857142857,0
606143_AAA_2013J,277.0,4.196969696969697,19.0,14.0,31.0,0.45161290322580644,0
704156_AAA_2013J,690.0,3.9884393063583814,33.0,23.0,36.0,0.6388888888888888,1
705379_AAA_2013J,916.0,4.490196078431373,39.0,28.0,32.0,0.875,1
721259_AAA_2013J,1228.0,4.3546099290780145,26.0,27.0,30.0,0.9,0
749412_AAA_2013J,1264.0,4.435087719298245,31.0,34.0,37.0,0.918918918918919,1
760729_AAA_2013J,1695.0,5.296875,44.0,32.0,37.0,0.8648648648648649,1
905042_AAA_2013J,692.0,4.271604938271605,55.0,23.0,32.0,0.71875,1
949618_AAA_2013J,397.0,2.9849624060150375,12.0,19.0,36.0,0.5277777777777778,1
958987_AAA_2013J,168.0,2.7096774193548385,11.0,14.0,37.0,0.3783783783783784,1
968578_AAA_2013J,170.0,3.5416666666666665,13.0,10.0,37.0,0.2702702702702703,1
969076_AAA_2013J,601.0,3.1139896373056994,23.0,32.0,36.0,0.8888888888888888,0
971027_AAA_2013J,795.0,4.184210526315789,32.0,28.0,37.0,0.7567567567567568,1
978739_AAA_2013J,1774.0,6.669172932330827,46.0,30.0,37.0,0.8108108108108109,1
1035023_AAA_2013J,394.0,3.7169811320754715,24.0,26.0,37.0,0.7027027027027027,1
1105478_AAA_2013J,574.0,4.042253521126761,30.0,28.0,37.0,0.7567567567567568,1
1352868_AAA_2013J,380.0,3.8383838383838382,21.0,13.0,30.0,0.43333333333333335,0
1401935_AAA_2013J,171.0,3.5625,22.0,12.0,37.0,0.32432432432432434,0
1402638_AAA_2013J,379.0,3.7524752475247523,22.0,21.0,37.0,0.5675675675675675,1
1414443_AAA_2013J,686.0,4.731034482758621,43.0,11.0,34.0,0.3235294117647059,0
1456619_AAA_2013J,467.0,3.3840579710144927,19.0,22.0,34.0,0.6470588235294118,0
1465690_AAA_2013J,685.0,3.45959595959596,30.0,22.0,36.0,0.6111111111111112,1
1472925_AAA_2013J,67.0,3.1904761904761907,11.0,3.0,5.0,0.6,0
1488959_AAA_2013J,819.0,5.11875,34.0,30.0,37.0,0.8108108108108109,1
1518989_AAA_2013J,1151.0,4.815899581589958,30.0,21.0,36.0,0.5833333333333334,1
1618738_AAA_2013J,275.0,6.875,33.0,6.0,22.0,0.2727272727272727,1
1620151_AAA_2013J,666.0,5.083969465648855,90.0,20.0,30.0,0.6666666666666666,0
1626710_AAA_2013J,1740.0,4.2439024390243905,64.0,36.0,37.0,0.972972972972973,1
1640609_AAA_2013J,1402.0,4.340557275541796,23.0,37.0,37.0,1.0,1
1686521_AAA_2013J,599.0,3.136125654450262,20.0,28.0,33.0,0.8484848484848485,0
1729319_AAA_2013J,583.0,4.076923076923077,42.0,17.0,36.0,0.4722222222222222,1
1746134_AAA_2013J,359.0,3.519607843137255,27.0,14.0,29.0,0.4827586206896552,1
1758449_AAA_2013J,1359.0,4.70242214532872,25.0,29.0,37.0,0.7837837837837838,0
1763015_AAA_2013J,420.0,14.0,94.0,3.0,3.0,1.0,0
1765788_AAA_2013J,2201.0,6.4169096209912535,65.0,33.0,37.0,0.8918918918918919,1
1801229_AAA_2013J,453.0,4.870967741935484,34.0,18.0,31.0,0.5806451612903226,1
1801641_AAA_2013J,189.0,3.5660377358490565,18.0,12.0,37.0,0.32432432432432434,1
1847830_AAA_2013J,1072.0,4.32258064516129,20.0,31.0,37.0,0.8378378378378378,1
1860318_AAA_2013J,679.0,4.884892086330935,22.0,22.0,37.0,0.5945945945945946,1
1889511_AAA_2013J,433.0,3.7327586206896552,18.0,16.0,32.0,0.5,1
1889577_AAA_2013J,322.0,3.3541666666666665,14.0,15.0,32.0,0.46875,1
1894188_AAA_2013J,763.0,5.335664335664336,28.0,28.0,37.0,0.7567567567567568,1
1938355_AAA_2013J,719.0,4.132183908045977,27.0,22.0,36.0,0.6111111111111112,1
1942396_AAA_2013J,266.0,3.970149253731343,19.0,13.0,36.0,0.3611111111111111,1
1970390_AAA_2013J,2931.0,6.800464037122969,58.0,33.0,37.0,0.8918918918918919,0
1976139_AAA_2013J,241.0,3.765625,27.0,11.0,30.0,0.36666666666666664,1
2011876_AAA_2013J,329.0,3.3917525773195876,22.0,15.0,34.0,0.4411764705882353,1
2012966_AAA_2013J,332.0,4.811594202898551,33.0,10.0,29.0,0.3448275862068966,1
2051699_AAA_2013J,569.0,4.1231884057971016,31.0,25.0,37.0,0.6756756756756757,1
2062879_AAA_2013J,594.0,3.7358490566037736,35.0,25.0,37.0,0.6756756756756757,0
2065691_AAA_2013J,1.0,1.0,1.0,1.0,0.0,0.0,0
2073016_AAA_2013J,482.0,3.08974358974359,16.0,22.0,30.0,0.7333333333333333,0
2080474_AAA_2013J,244.0,3.168831168831169,17.0,11.0,32.0,0.34375,1
2083877_AAA_2013J,356.0,3.4901960784313726,20.0,18.0,37.0,0.4864864864864865,1
2084066_AAA_2013J,942.0,5.292134831460674,40.0,25.0,35.0,0.7142857142857143,0
2104505_AAA_2013J,326.0,4.794117647058823,41.0,13.0,34.0,0.38235294117647056,1
2122180_AAA_2013J,975.0,5.0,28.0,32.0,37.0,0.8648648648648649,1
2139353_AAA_2013J,289.0,2.6036036036036037,16.0,21.0,35.0,0.6,0
2143752_AAA_2013J,513.0,5.764044943820225,34.0,20.0,35.0,0.5714285714285714,1
2146792_AAA_2013J,542.0,3.763888888888889,19.0,34.0,37.0,0.918918918918919,1
2149225_AAA_2013J,319.0,3.625,19.0,8.0,20.0,0.4,0
2153153_AAA_2013J,884.0,6.452554744525547,63.0,14.0,24.0,0.5833333333333334,1
2155014_AAA_2013J,578.0,5.302752293577981,25.0,15.0,35.0,0.42857142857142855,1
2164705_AAA_2013J,186.0,3.3214285714285716,13.0,7.0,27.0,0.25925925925925924,0
2171627_AAA_2013J,303.0,4.267605633802817,18.0,13.0,32.0,0.40625,1
2182846_AAA_2013J,1071.0,4.041509433962264,34.0,30.0,37.0,0.8108108108108109,1
2194100_AAA_2013J,527.0,4.504273504273504,41.0,19.0,37.0,0.5135135135135135,1
2197016_AAA_2013J,394.0,4.104166666666667,32.0,16.0,34.0,0.47058823529411764,1
2208424_AAA_2013J,401.0,3.341666666666667,27.0,18.0,32.0,0.5625,1
2229865_AAA_2013J,806.0,4.050251256281407,34.0,27.0,36.0,0.75,1
2255601_AAA_2013J,949.0,4.434579439252336,35.0,23.0,37.0,0.6216216216216216,0
2268379_AAA_2013J,494.0,3.1464968152866244,29.0,21.0,35.0,0.6,1
2278464_AAA_2013J,195.0,3.611111111111111,36.0,12.0,28.0,0.42857142857142855,1
2293923_AAA_2013J,203.0,3.440677966101695,32.0,12.0,29.0,0.41379310344827586,1
2312620_AAA_2013J,282.0,3.3176470588235296,30.0,10.0,34.0,0.29411764705882354,0
2318055_AAA_2013J,0.0,0.0,0.0,0.0,0.0,0.0,0
2324976_AAA_2013J,0.0,0.0,0.0,0.0,0.0,0.0,0
2329342_AAA_2013J,242.0,3.408450704225352,15.0,10.0,17.0,0.5882352941176471,1
2339528_AAA_2013J,234.0,6.5,21.0,4.0,30.0,0.13333333333333333,1
2342426_AAA_2013J,549.0,4.12781954887218,32.0,22.0,37.0,0.5945945945945946,0
2344901_AAA_2013J,136.0,3.4,18.0,8.0,26.0,0.3076923076923077,0
2358056_AAA_2013J,386.0,3.541284403669725,25.0,21.0,34.0,0.6176470588235294,0
2358969_AAA_2013J,310.0,4.2465753424657535,26.0,13.0,33.0,0.3939393939393939,0
2364471_AAA_2013J,1892.0,4.504761904761905,35.0,38.0,37.0,1.027027027027027,1
