student_key,gender,age_band,highest_education,imd_band,disability,region,num_of_prev_attempts,studied_credits,target
134143_AAA_2013J,0,1,0,9,0,7,0,60,1
135335_AAA_2013J,0,0,2,2,0,0,0,180,0
135400_AAA_2013J,0,1,2,9,1,7,0,60,0
137873_AAA_2013J,1,1,0,4,0,9,0,60,1
141355_AAA_2013J,0,0,0,3,0,1,0,240,1
141377_AAA_2013J,1,0,0,9,0,9,0,345,0
142326_AAA_2013J,0,1,0,5,0,4,0,60,1
144801_AAA_2013J,0,1,1,8,0,8,0,60,1
145130_AAA_2013J,1,0,1,6,0,9,0,120,1
146188_AAA_2013J,0,0,0,2,1,11,0,60,0
147756_AAA_2013J,1,0,2,6,0,4,0,120,0
147793_AAA_2013J,0,0,2,8,0,4,0,90,0
148993_AAA_2013J,0,1,0,3,1,5,0,60,0
151358_AAA_2013J,0,0,0,8,0,3,0,150,1
155550_AAA_2013J,1,1,0,0,0,3,0,420,1
155854_AAA_2013J,0,1,0,2,0,1,0,60,1
155984_AAA_2013J,0,0,2,7,0,0,0,60,0
157568_AAA_2013J,0,0,0,9,0,9,0,60,1
159954_AAA_2013J,1,1,0,4,0,1,0,60,0
164259_AAA_2013J,1,0,0,7,0,6,0,60,1
167906_AAA_2013J,0,1,0,4,0,12,0,60,1
168936_AAA_2013J,0,1,2,1,0,11,0,60,1
172112_AAA_2013J,1,1,1,10,0,2,0,60,1
172797_AAA_2013J,0,1,0,10,0,2,0,60,1
174782_AAA_2013J,1,2,1,9,0,0,0,60,1
175392_AAA_2013J,1,1,1,10,0,4,0,60,1
175932_AAA_2013J,1,1,1,7,0,5,0,60,1
175991_AAA_2013J,0,0,0,8,0,5,0,180,0
180753_AAA_2013J,1,0,0,3,0,9,0,120,1
181316_AAA_2013J,0,1,0,8,0,9,0,120,0
183096_AAA_2013J,0,0,0,6,0,9,0,60,1
183947_AAA_2013J,1,0,0,1,0,3,0,180,1
184271_AAA_2013J,1,1,1,8,0,9,0,170,1
185439_AAA_2013J,1,0,1,1,0,3,0,120,0
186149_AAA_2013J,1,1,1,3,0,6,0,60,1
187100_AAA_2013J,1,1,0,5,0,7,0,60,1
188278_AAA_2013J,1,1,0,7,0,12,0,120,0
189879_AAA_2013J,1,0,0,9,0,6,0,120,1
192183_AAA_2013J,0,0,2,9,0,9,0,60,1
195262_AAA_2013J,1,0,0,9,0,3,0,60,0
200860_AAA_2013J,1,1,2,5,0,3,0,60,1
202635_AAA_2013J,0,0,0,3,0,10,0,60,0
205350_AAA_2013J,1,1,1,8,0,9,0,60,1
205719_AAA_2013J,1,0,0,4,1,0,0,90,0
227499_AAA_2013J,0,1,0,1,0,3,0,60,1
227517_AAA_2013J,1,0,1,10,0,2,0,180,0
228082_AAA_2013J,1,0,1,6,0,3,0,60,1
228222_AAA_2013J,1,0,2,5,0,1,0,60,1
229179_AAA_2013J,1,0,0,2,0,11,0,60,1
229361_AAA_2013J,1,0,0,5,0,1,0,60,1
231554_AAA_2013J,1,0,0,4,0,3,0,240,1
235507_AAA_2013J,1,0,0,9,0,12,0,240,0
236284_AAA_2013J,1,0,4,9,0,6,0,60,1
238007_AAA_2013J,1,2,1,9,0,8,0,60,1
240712_AAA_2013J,1,0,1,8,0,3,0,80,1
240884_AAA_2013J,1,0,0,9,0,8,0,120,1
241649_AAA_2013J,1,1,1,9,0,0,0,60,1
241729_AAA_2013J,0,1,1,6,0,1,0,60,0
242793_AAA_2013J,1,1,1,2,0,3,0,60,1
246834_AAA_2013J,1,1,0,9,0,9,0,60,1
248270_AAA_2013J,1,0,2,2,0,5,0,90,1
255548_AAA_2013J,1,1,2,2,0,10,0,60,1
256815_AAA_2013J,1,0,1,1,0,5,0,120,1
258392_AAA_2013J,0,0,2,3,0,11,0,60,1
258894_AAA_2013J,0,1,2,7,0,0,0,60,1
260355_AAA_2013J,0,1,0,8,0,3,0,60,0
262011_AAA_2013J,1,1,0,2,0,1,0,60,1
262934_AAA_2013J,0,1,0,3,0,5,0,60,1
268073_AAA_2013J,1,1,0,1,0,0,0,90,0
268733_AAA_2013J,1,0,0,3,0,0,0,180,0
271251_AAA_2013J,1,1,0,8,0,6,0,60,1
277880_AAA_2013J,0,0,0,6,0,7,0,60,0
279572_AAA_2013J,1,0,2,4,0,3,0,60,1
281022_AAA_2013J,0,0,0,3,0,6,0,150,1
281250_AAA_2013J,1,1,2,7,0,10,0,60,0
281589_AAA_2013J,1,0,1,3,0,5,0,60,0
282821_AAA_2013J,1,1,0,3,0,9,0,60,1
286488_AAA_2013J,1,1,0,9,0,7,0,60,1
287548_AAA_2013J,1,0,0,9,0,0,0,120,1
290201_AAA_2013J,1,0,0,2,0,10,0,60,1
290757_AAA_2013J,1,0,0,3,0,5,0,60,1
291334_AAA_2013J,1,1,0,9,0,7,0,60,1
292923_AAA_2013J,0,1,0,9,0,7,0,180,0
293699_AAA_2013J,1,0,0,7,0,1,0,120,1
294570_AAA_2013J,1,2,1,9,0,7,0,60,1
294594_AAA_2013J,1,0,0,9,0,7,0,60,1
295741_AAA_2013J,1,1,0,4,0,7,0,240,0
296332_AAA_2013J,1,2,4,9,0,8,0,60,1
298696_AAA_2013J,0,0,1,8,0,7,0,60,1
300398_AAA_2013J,1,1,0,3,0,11,0,60,1
302302_AAA_2013J,0,0,0,4,0,0,0,60,0
305152_AAA_2013J,1,0,0,7,0,5,0,60,0
305386_AAA_2013J,1,0,0,7,1,11,0,120,1
305539_AAA_2013J,0,0,2,8,0,10,0,120,0
306107_AAA_2013J,1,1,0,5,0,11,0,120,1
306466_AAA_2013J,1,1,0,9,0,0,0,60,1
306897_AAA_2013J,0,0,0,1,0,3,0,60,1
307061_AAA_2013J,0,0,1,1,0,1,0,60,1
307866_AAA_2013J,1,0,0,7,0,11,0,60,1
311917_AAA_2013J,1,2,0,6,0,9,0,120,1
312537_AAA_2013J,1,2,4,9,0,8,0,60,1
312782_AAA_2013J,1,0,0,9,0,8,0,60,1
318933_AAA_2013J,0,0,1,8,0,0,0,120,1
319047_AAA_2013J,0,0,0,5,0,1,0,60,1
321942_AAA_2013J,1,2,1,9,0,8,0,60,1
324002_AAA_2013J,1,1,1,4,0,0,0,60,1
324084_AAA_2013J,0,1,0,1,0,9,0,60,1
324282_AAA_2013J,1,0,0,9,0,7,0,120,1
331358_AAA_2013J,0,1,1,9,0,8,0,60,0
332789_AAA_2013J,0,1,0,6,0,0,0,60,1
333059_AAA_2013J,1,0,0,2,0,6,0,120,1
333323_AAA_2013J,1,0,1,8,0,6,0,60,1
334259_AAA_2013J,0,0,0,5,0,3,0,150,0
334333_AAA_2013J,0,0,0,0,1,9,0,240,0
335764_AAA_2013J,0,0,0,2,0,7,0,60,0
336207_AAA_2013J,1,0,0,9,0,0,0,120,1
339972_AAA_2013J,1,0,0,8,0,4,0,60,1
341872_AAA_2013J,1,0,2,4,0,0,0,180,0
342007_AAA_2013J,0,0,1,7,0,11,0,60,0
342514_AAA_2013J,1,2,2,5,0,6,0,60,1
342972_AAA_2013J,1,0,1,0,0,12,0,60,1
343446_AAA_2013J,1,1,1,7,0,2,0,120,1
344282_AAA_2013J,1,0,0,1,0,12,0,60,0
345068_AAA_2013J,1,0,0,6,1,0,0,180,1
345357_AAA_2013J,1,0,0,3,0,12,0,60,1
346025_AAA_2013J,1,0,0,5,0,0,0,120,1
346843_AAA_2013J,0,1,1,5,0,6,0,120,0
350188_AAA_2013J,1,1,1,8,0,5,0,60,1
354858_AAA_2013J,1,1,1,9,0,8,0,120,0
357668_AAA_2013J,1,0,0,1,0,12,0,60,0
364177_AAA_2013J,1,1,2,7,0,0,0,60,0
365244_AAA_2013J,0,0,0,0,0,3,0,120,1
365642_AAA_2013J,1,1,2,1,0,0,0,60,1
366483_AAA_2013J,1,0,1,4,0,9,0,60,1
368194_AAA_2013J,0,0,0,5,1,9,0,120,1
368824_AAA_2013J,1,1,1,5,0,10,0,120,0
368963_AAA_2013J,1,0,2,0,0,12,0,180,1
376439_AAA_2013J,1,0,1,10,0,4,0,60,1
376581_AAA_2013J,0,1,0,8,0,8,0,60,1
380953_AAA_2013J,1,0,0,8,0,1,0,60,1
383254_AAA_2013J,1,0,0,9,0,12,0,120,1
386924_AAA_2013J,1,0,2,10,0,2,0,120,1
386952_AAA_2013J,1,0,0,7,0,12,0,120,1
388722_AAA_2013J,0,1,2,8,0,3,0,60,1
388885_AAA_2013J,1,1,0,9,0,9,0,60,1
390890_AAA_2013J,1,0,0,0,0,6,0,90,0
392756_AAA_2013J,1,0,0,7,0,11,0,120,0
392931_AAA_2013J,0,1,0,5,0,5,0,120,1
393207_AAA_2013J,1,0,0,6,0,5,0,60,1
396872_AAA_2013J,1,0,1,5,0,12,0,180,1
398552_AAA_2013J,1,0,2,9,0,12,0,240,0
401869_AAA_2013J,0,0,2,8,0,7,0,60,1
402470_AAA_2013J,1,1,2,5,0,9,0,60,1
404804_AAA_2013J,1,1,2,2,0,10,0,120,1
405088_AAA_2013J,1,0,0,2,0,4,0,120,1
405961_AAA_2013J,1,0,0,9,1,6,0,240,0
414117_AAA_2013J,1,0,0,5,0,12,0,120,1
415969_AAA_2013J,1,1,1,0,0,11,0,90,0
420087_AAA_2013J,1,0,0,4,1,6,0,60,0
429958_AAA_2013J,0,0,0,7,0,5,0,60,1
441018_AAA_2013J,0,0,0,7,0,7,0,150,1
441888_AAA_2013J,1,0,0,2,0,3,0,120,1
442442_AAA_2013J,1,0,1,8,0,9,0,120,0
444677_AAA_2013J,1,0,1,3,0,3,0,60,1
470588_AAA_2013J,1,1,1,9,0,7,0,60,0
489455_AAA_2013J,0,0,0,2,0,9,0,60,1
494424_AAA_2013J,0,0,0,8,0,4,0,60,0
495284_AAA_2013J,1,0,1,8,0,7,0,120,1
498857_AAA_2013J,1,1,1,8,0,5,0,60,1
508818_AAA_2013J,1,0,0,4,0,3,0,120,1
512460_AAA_2013J,1,0,1,9,0,7,0,120,1
544103_AAA_2013J,1,0,1,4,0,5,0,120,1
550383_AAA_2013J,1,0,1,6,0,7,0,60,1
564450_AAA_2013J,1,0,1,8,0,11,0,120,0
568601_AAA_2013J,0,0,1,3,0,6,0,60,0
572652_AAA_2013J,1,0,1,7,0,11,0,120,1
580389_AAA_2013J,1,0,1,9,0,2,0,120,1
581129_AAA_2013J,1,0,0,3,0,0,0,120,0
588775_AAA_2013J,1,0,0,9,0,9,0,120,1
591774_AAA_2013J,1,1,4,9,0,8,0,60,1
603861_AAA_2013J,1,2,1,10,0,4,0,60,0
606143_AAA_2013J,1,1,4,9,0,6,0,60,0
704156_AAA_2013J,1,2,1,9,0,8,0,120,1
705379_AAA_2013J,1,2,0,6,0,11,0,120,1
721259_AAA_2013J,0,2,2,5,0,8,0,120,0
749412_AAA_2013J,1,2,2,7,0,8,0,60,1
760729_AAA_2013J,1,2,0,6,0,11,0,60,1
905042_AAA_2013J,0,1,0,9,0,0,0,60,1
949618_AAA_2013J,0,1,0,5,0,9,0,60,1
958987_AAA_2013J,1,1,1,4,0,5,0,60,1
968578_AAA_2013J,0,1,0,4,0,0,0,60,1
969076_AAA_2013J,1,1,0,8,0,9,0,180,0
971027_AAA_2013J,0,1,1,9,0,11,0,60,1
978739_AAA_2013J,1,1,1,9,0,8,0,60,1
1035023_AAA_2013J,0,1,2,3,0,3,0,60,1
1105478_AAA_2013J,1,2,1,8,0,6,0,60,1
1352868_AAA_2013J,1,1,0,2,0,12,0,60,0
1401935_AAA_2013J,1,1,0,7,0,11,0,60,0
1402638_AAA_2013J,0,1,1,3,0,1,0,60,1
1414443_AAA_2013J,0,1,0,1,0,12,0,120,0
1456619_AAA_2013J,1,1,0,9,0,9,0,60,0
1465690_AAA_2013J,1,1,1,4,0,11,0,120,1
1472925_AAA_2013J,0,1,2,4,1,0,0,60,0
1488959_AAA_2013J,1,1,0,7,0,3,0,60,1
1518989_AAA_2013J,0,1,2,8,0,7,0,60,1
1618738_AAA_2013J,1,1,2,9,0,3,0,60,1
1620151_AAA_2013J,1,1,1,9,0,8,0,60,0
1626710_AAA_2013J,1,1,0,6,0,5,0,60,1
1640609_AAA_2013J,1,1,0,3,0,11,0,60,1
1686521_AAA_2013J,0,1,2,5,0,5,0,60,0
1729319_AAA_2013J,0,1,1,4,0,6,0,60,1
1746134_AAA_2013J,1,1,0,6,0,0,0,60,1
1758449_AAA_2013J,1,1,2,3,0,8,0,75,0
1763015_AAA_2013J,0,1,0,1,0,6,0,60,0
1765788_AAA_2013J,1,2,1,7,0,7,0,60,1
1801229_AAA_2013J,1,1,1,10,0,2,0,60,1
1801641_AAA_2013J,1,1,0,3,0,6,0,60,1
1847830_AAA_2013J,1,1,2,4,0,9,0,60,1
1860318_AAA_2013J,1,1,2,4,1,9,0,300,1
1889511_AAA_2013J,1,1,0,5,0,12,0,60,1
1889577_AAA_2013J,0,1,0,7,1,8,0,60,1
1894188_AAA_2013J,0,0,0,8,0,1,0,60,1
1938355_AAA_2013J,1,1,0,9,0,8,0,60,1
1942396_AAA_2013J,0,1,2,4,1,0,0,120,1
1970390_AAA_2013J,1,1,2,0,0,11,0,60,0
1976139_AAA_2013J,1,1,2,5,0,2,0,120,1
2011876_AAA_2013J,0,0,0,9,1,0,0,60,1
2012966_AAA_2013J,1,1,2,3,0,5,0,60,1
2051699_AAA_2013J,0,1,2,7,0,9,0,60,1
2062879_AAA_2013J,0,0,0,6,0,0,0,60,0
2065691_AAA_2013J,1,1,0,3,1,3,0,330,0
2073016_AAA_2013J,0,1,2,3,0,3,0,60,0
2080474_AAA_2013J,0,1,0,9,0,8,0,60,1
2083877_AAA_2013J,0,0,0,0,0,11,0,120,1
2084066_AAA_2013J,0,1,2,5,0,9,0,60,0
2104505_AAA_2013J,1,1,2,0,0,11,0,60,1
2122180_AAA_2013J,0,1,2,8,0,5,0,60,1
2139353_AAA_2013J,1,1,0,5,0,3,0,120,0
2143752_AAA_2013J,0,1,2,7,0,8,0,60,1
2146792_AAA_2013J,1,2,1,2,0,5,0,60,1
2149225_AAA_2013J,1,1,0,7,1,6,0,60,0
2153153_AAA_2013J,0,0,0,4,0,12,0,60,1
2155014_AAA_2013J,0,0,2,8,1,11,0,60,1
2164705_AAA_2013J,0,0,0,4,0,5,0,120,0
2171627_AAA_2013J,0,1,0,3,0,12,0,60,1
2182846_AAA_2013J,0,1,0,7,0,3,0,60,1
2194100_AAA_2013J,0,1,0,5,0,0,0,60,1
2197016_AAA_2013J,0,1,1,3,0,5,0,60,1
2208424_AAA_2013J,1,0,0,2,0,6,0,60,1
2229865_AAA_2013J,0,1,0,1,0,11,0,60,1
2255601_AAA_2013J,0,1,0,8,0,8,0,120,0
2268379_AAA_2013J,0,0,0,2,0,1,0,60,1
2278464_AAA_2013J,1,1,2,3,0,8,0,60,1
2293923_AAA_2013J,1,0,0,9,0,8,0,150,1
2312620_AAA_2013J,0,1,1,2,0,1,0,60,0
2318055_AAA_2013J,1,1,0,9,0,10,0,60,0
2324976_AAA_2013J,0,1,1,9,0,6,0,60,0
2329342_AAA_2013J,0,1,2,4,0,0,0,120,1
2339528_AAA_2013J,0,0,2,4,0,3,0,60,1
2342426_AAA_2013J,1,1,2,2,0,12,0,60,0
2344901_AAA_2013J,0,0,0,6,0,12,0,60,0
2358056_AAA_2013J,0,0,1,10,0,4,0,60,0
2358969_AAA_2013J,0,0,0,7,0,0,0,180,0
2364471_AAA_2013J,0,0,1,9,1,6,0,60,1
2365101_AAA_2013J,1,0,1,2,0,7,0,300,0
2367155_AAA_2013J,0,0,0,8,0,0,0,120,1
2369266_AAA_2013J,0,1,2,7,0,3,0,60,1
2376496_AAA_2013J,0,0,0,2,0,1,0,120,1
2391984_AAA_2013J,1,0,0,9,0,8,0,60,0
2411661_AAA_2013J,0,0,0,8,0,8,0,120,0
2411778_AAA_2013J,1,0,1,2,0,6,0,120,0
2412002_AAA_2013J,1,1,2,5,0,9,0,90,1
2412967_AAA_2013J,0,1,0,8,0,8,0,60,1
2429854_AAA_2013J,1,1,0,1,1,3,0,120,0
2437837_AAA_2013J,0,0,0,3,0,4,0,60,1
2449878_AAA_2013J,0,0,0,3,0,1,0,60,1
2456480_AAA_2013J,1,1,2,8,0,6,0,120,0
2457256_AAA_2013J,1,1,2,8,0,8,0,180,1
2458355_AAA_2013J,1,1,2,8,0,3,0,60,1
2460080_AAA_2013J,1,2,1,9,0,6,0,60,1
2461190_AAA_2013J,1,2,1,7,0,8,0,60,0
2469673_AAA_2013J,0,1,2,2,0,12,0,60,0
2470694_AAA_2013J,0,2,1,5,0,6,0,60,0
2479954_AAA_2013J,1,0,0,4,0,5,0,60,1
2481901_AAA_2013J,1,1,2,8,0,10,0,60,1
2482700_AAA_2013J,1,0,2,9,0,8,0,120,1
2486127_AAA_2013J,0,0,1,9,0,0,0,120,1
2498700_AAA_2013J,0,0,2,4,0,5,0,240,1
2516503_AAA_2013J,1,1,1,4,0,7,0,60,1
2518069_AAA_2013J,1,0,0,9,0,1,0,60,1
2521459_AAA_2013J,0,0,2,1,0,3,0,60,1
2523736_AAA_2013J,1,2,0,2,0,5,0,120,1
2529279_AAA_2013J,0,1,1,6,0,5,0,60,1
2532302_AAA_2013J,0,0,0,8,0,0,0,60,1
2536991_AAA_2013J,1,2,1,9,0,8,0,60,1
2542724_AAA_2013J,0,0,2,4,0,11,0,60,0
2550279_AAA_2013J,0,1,1,10,0,4,0,60,1
2551220_AAA_2013J,0,0,2,9,0,8,0,60,1
2552472_AAA_2013J,0,1,1,8,0,8,0,120,0
2555340_AAA_2013J,0,1,1,9,0,8,0,60,1
2557283_AAA_2013J,1,2,1,8,0,12,0,60,1
2559575_AAA_2013J,1,0,2,3,0,9,0,60,1
2562034_AAA_2013J,1,0,0,7,0,0,0,60,1
2566163_AAA_2013J,0,0,0,8,0,8,0,60,1
2566592_AAA_2013J,0,1,0,9,0,8,0,60,1
2569324_AAA_2013J,1,0,0,9,0,8,0,120,0
2574528_AAA_2013J,1,1,1,10,0,2,0,60,1
2574583_AAA_2013J,1,1,2,7,0,12,0,60,1
2576122_AAA_2013J,1,0,0,7,0,5,0,60,0
2578995_AAA_2013J,0,0,0,1,1,11,0,60,1
2586560_AAA_2013J,0,1,2,8,0,0,0,60,1
2594139_AAA_2013J,0,0,0,5,0,9,0,60,1
2598871_AAA_2013J,0,1,0,8,0,0,0,60,1
2599352_AAA_2013J,0,0,0,3,0,6,0,120,1
2600688_AAA_2013J,1,0,0,2,0,11,0,60,1
2606098_AAA_2013J,0,0,0,9,0,1,0,60,1
2613116_AAA_2013J,0,1,2,1,0,3,0,60,1
2617002_AAA_2013J,0,0,0,8,0,12,0,60,1
2620584_AAA_2013J,1,0,0,4,1,11,0,60,0
2639449_AAA_2013J,1,0,0,1,0,1,0,120,1
2639540_AAA_2013J,0,1,0,9,0,5,0,60,1
2639641_AAA_2013J,1,1,2,3,0,7,0,120,1
2641155_AAA_2013J,1,1,2,5,0,1,0,60,1
2643002_AAA_2013J,0,1,0,8,0,9,0,60,1
2645733_AAA_2013J,0,0,0,4,0,9,0,180,1
2649826_AAA_2013J,1,1,2,6,0,0,0,60,1
2650282_AAA_2013J,1,1,0,0,0,3,0,60,1
2664024_AAA_2013J,1,1,1,9,0,7,0,60,1
2666246_AAA_2013J,1,0,0,9,0,5,0,60,1
2669816_AAA_2013J,1,0,0,9,0,12,0,60,0
2671132_AAA_2013J,1,2,1,2,0,3,0,60,1
2676809_AAA_2013J,0,0,1,1,0,4,0,150,0
2678643_AAA_2013J,0,0,0,8,0,8,0,60,1
2685865_AAA_2013J,0,0,2,3,0,1,0,60,1
2688067_AAA_2013J,1,0,0,1,0,0,0,60,1
2689958_AAA_2013J,1,1,0,4,0,0,0,60,1
2691206_AAA_2013J,0,0,0,5,0,11,0,60,1
2691244_AAA_2013J,1,1,0,4,0,8,0,180,1
2694424_AAA_2013J,1,1,0,7,0,0,0,120,1
2698257_AAA_2013J,1,0,2,6,0,1,0,120,1
6516_AAA_2014J,1,2,1,8,0,6,0,60,1
24734_AAA_2014J,0,0,2,6,0,8,0,60,1
26192_AAA_2014J,0,1,0,6,0,0,0,60,1
28061_AAA_2014J,1,1,2,4,0,12,0,60,1
31600_AAA_2014J,0,0,0,4,0,9,0,60,1
46844_AAA_2014J,1,1,1,3,0,4,0,60,1
52765_AAA_2014J,0,1,2,0,0,12,0,120,1
55104_AAA_2014J,0,0,0,6,0,11,0,60,1
58071_AAA_2014J,1,2,1,9,0,0,0,60,1
58316_AAA_2014J,0,0,0,7,0,10,0,120,1
62487_AAA_2014J,0,0,0,1,0,1,0,60,1
63165_AAA_2014J,1,1,0,8,0,7,0,60,1
65002_AAA_2014J,0,0,0,7,0,0,1,60,0
70011_AAA_2014J,0,0,1,4,0,6,0,60,1
75255_AAA_2014J,1,0,0,4,0,5,0,120,1
79403_AAA_2014J,1,1,2,8,0,8,0,60,0
85092_AAA_2014J,0,0,2,3,0,9,0,60,1
85144_AAA_2014J,1,1,0,5,0,6,0,60,1
85302_AAA_2014J,1,1,2,8,0,3,0,60,1
87431_AAA_2014J,1,1,2,1,0,7,0,60,0
94961_AAA_2014J,1,1,2,7,0,8,1,60,1
95755_AAA_2014J,1,0,2,9,0,7,0,60,0
101116_AAA_2014J,0,1,2,6,0,0,0,60,1
107489_AAA_2014J,0,0,1,2,0,3,0,60,1
108872_AAA_2014J,1,2,1,8,0,3,0,60,1
109155_AAA_2014J,0,0,1,9,0,8,0,60,1
111512_AAA_2014J,1,0,0,4,0,10,0,60,0
117818_AAA_2014J,0,1,0,4,0,3,0,60,1
119902_AAA_2014J,0,1,0,6,0,9,0,60,0
121349_AAA_2014J,0,1,0,4,0,9,1,60,1
124064_AAA_2014J,0,0,0,6,0,7,0,120,1
125018_AAA_2014J,1,1,1,7,0,8,0,60,1
129955_AAA_2014J,1,0,0,5,0,11,1,60,0
130034_AAA_2014J,0,1,0,6,0,0,0,60,1
130547_AAA_2014J,0,1,0,7,0,8,0,60,1
130636_AAA_2014J,1,0,0,1,0,7,0,60,1
131390_AAA_2014J,1,1,0,9,0,0,0,60,1
133816_AAA_2014J,0,1,0,7,0,8,0,60,1
133922_AAA_2014J,1,0,2,0,0,4,0,60,1
135335_AAA_2014J,0,0,2,2,0,0,1,120,0
135400_AAA_2014J,0,1,2,9,1,7,1,60,1
135471_AAA_2014J,1,1,2,9,0,0,0,60,1
139033_AAA_2014J,1,1,0,9,0,7,0,60,0
141377_AAA_2014J,1,0,0,9,0,9,1,210,1
141506_AAA_2014J,1,1,0,2,0,6,0,60,0
146503_AAA_2014J,1,1,2,3,1,0,0,120,1
147756_AAA_2014J,1,0,2,6,0,4,1,120,1
148993_AAA_2014J,0,1,0,3,1,5,1,60,1
149741_AAA_2014J,0,1,0,2,0,6,0,60,1
149962_AAA_2014J,1,0,0,6,0,11,0,60,1
151587_AAA_2014J,0,0,0,0,0,10,0,120,0
152668_AAA_2014J,0,0,2,9,0,8,0,60,0
155984_AAA_2014J,0,0,2,7,0,0,1,120,1
158707_AAA_2014J,0,0,0,8,0,7,0,60,0
159954_AAA_2014J,1,1,0,4,0,1,1,60,0
164944_AAA_2014J,0,0,0,4,1,0,0,60,1
165226_AAA_2014J,0,0,0,3,0,10,0,60,0
167961_AAA_2014J,1,2,1,7,0,9,0,60,1
174024_AAA_2014J,1,1,0,1,0,4,0,60,1
174094_AAA_2014J,0,1,2,3,1,7,0,60,1
174745_AAA_2014J,0,1,0,7,0,1,0,60,1
175447_AAA_2014J,1,1,0,5,0,3,0,60,1
175772_AAA_2014J,0,1,1,9,0,0,0,270,0
183057_AAA_2014J,1,0,2,9,0,10,0,60,1
185350_AAA_2014J,1,1,2,1,0,12,0,60,0
188278_AAA_2014J,1,1,0,7,0,12,1,60,1
199636_AAA_2014J,1,1,0,3,0,0,0,60,1
199897_AAA_2014J,1,1,1,1,0,1,0,60,1
200804_AAA_2014J,1,0,0,9,0,8,0,60,1
205494_AAA_2014J,1,1,1,3,0,9,0,60,1
228021_AAA_2014J,1,1,0,4,0,6,0,60,1
228383_AAA_2014J,1,0,1,5,0,12,0,60,1
232307_AAA_2014J,1,1,2,5,0,8,0,60,1
235068_AAA_2014J,0,1,2,3,0,1,0,60,1
235507_AAA_2014J,1,0,0,9,0,12,1,180,1
236875_AAA_2014J,1,0,0,4,0,11,0,60,1
237274_AAA_2014J,1,0,0,1,0,12,0,60,1
243510_AAA_2014J,0,0,2,6,0,9,0,60,0
244246_AAA_2014J,0,0,0,6,0,7,0,60,1
248581_AAA_2014J,0,0,0,4,0,11,0,60,1
252073_AAA_2014J,0,1,0,3,0,12,0,120,1
254625_AAA_2014J,1,1,0,2,0,10,0,60,1
258587_AAA_2014J,1,1,0,1,0,9,0,60,1
260355_AAA_2014J,0,1,0,8,0,3,1,120,0
260623_AAA_2014J,1,0,2,4,0,7,0,60,1
263251_AAA_2014J,1,1,0,4,0,0,0,60,1
263543_AAA_2014J,1,1,2,9,0,0,0,60,1
263952_AAA_2014J,1,1,2,10,0,4,0,60,1
266524_AAA_2014J,0,0,0,3,0,8,0,240,1
268733_AAA_2014J,1,0,0,3,0,0,1,120,0
273346_AAA_2014J,1,1,2,7,0,1,0,60,1
